SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
88937,9,2,2,48,,4,4,2,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,4,4,0,0,0,1,50,1,4,1,4,22004.45,23009.11,1,125,14,14,3.29
88938,9,2,2,53,,2,2,2,,2,,2,1,9,,3,1,,2,2,2,1,2,2,,,,,3,3,0,1,0,2,53,2,3,1,4,21278.81,21869.55,2,120,8,8,2.48
88939,9,2,1,6,,4,4,2,77,,,1,1,,0,,,,1,1,2,1,2,2,,,,,4,4,0,2,0,1,40,1,5,1,5,10857.89,12579.81,1,123,14,14,3.30
88940,9,2,1,31,,2,2,2,,2,,2,1,3,,5,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,1,31,2,5,1,5,22962.35,23870.65,1,123,15,15,5.00
88941,9,2,2,13,,1,1,1,158,,,1,1,,7,,,,2,1,2,2,2,2,1,2,2,1,5,5,0,2,1,2,64,,,1,2,13641.59,13709.80,2,122,8,8,1.58
88942,9,2,1,57,,3,3,2,,2,,1,1,,,3,3,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,1,57,1,3,3,,96816.14,99287.93,1,131,7,7,2.97
88943,9,2,1,43,,1,1,2,,2,,2,2,7,,1,1,,1,2,2,1,2,2,1,2,2,1,4,4,0,1,1,1,43,2,1,1,2,41309.40,41958.95,1,130,6,6,1.24
88944,9,2,2,20,,4,4,2,,2,,1,1,,,4,5,2,1,2,2,1,2,2,1,2,2,1,5,5,0,1,0,1,54,1,3,1,4,31927.40,32323.88,2,130,15,15,3.55
88945,9,2,1,30,,3,3,2,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,5,5,1,2,0,1,30,1,4,1,5,38262.97,39446.81,1,126,8,8,1.69
88946,9,2,1,15,,3,3,2,183,,,1,1,,8,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,1,46,1,5,1,5,101920.74,103983.13,1,132,15,15,4.12
